Date,AAPL,CHTR,CMCSA,CSCO,HPE,MSFT,NVDA,T,TMUS,VZ,^GSPC
2018-12-31,37.49604034423828,284.9700012207031,28.53707504272461,35.152732849121094,10.645439147949219,95.03365325927734,3.3097317218780518,13.008454322814941,61.4539909362793,38.29881286621094,2506.85009765625
2019-01-02,37.53881072998047,287.989990234375,28.805265426635742,34.84444808959961,10.846904754638672,94.61260986328125,3.377166271209717,13.464252471923828,63.048065185546875,38.162574768066406,2510.030029296875
2019-01-03,33.799678802490234,287.5,29.03154754638672,33.57722854614258,10.621262550354004,91.13200378417969,3.1731278896331787,13.48248291015625,62.816192626953125,38.29881286621094,2447.889892578125
2019-01-04,35.24256896972656,302.739990234375,30.012123107910156,35.08970642089844,11.12089729309082,95.3705062866211,3.37642240524292,13.828889846801758,65.20247650146484,38.39419174194336,2531.93994140625
2019-01-07,35.16412353515625,301.4700012207031,29.693639755249023,35.326805114746094,11.338480949401855,95.49211120605469,3.5551726818084717,14.07957935333252,66.12026977539062,38.63943099975586,2549.68994140625
2019-01-08,35.8344612121582,300.7099914550781,29.936691284179688,35.61296081542969,11.12089729309082,96.18451690673828,3.466665267944336,14.25733757019043,65.47298431396484,39.7702751159668,2574.409912109375
2019-01-09,36.44298553466797,297.6400146484375,30.221641540527344,35.41674041748047,11.330422401428223,97.55988311767578,3.5348434448242188,14.02219295501709,65.4246826171875,39.26985168457031,2584.9599609375
2019-01-10,36.55946731567383,292.6700134277344,30.020498275756836,35.35133743286133,11.386832237243652,96.93301391601562,3.6005425453186035,14.161951065063477,65.65656280517578,39.64844512939453,2596.639892578125
2019-01-11,36.20052719116211,294.5400085449219,29.86126136779785,35.555728912353516,11.47547721862793,96.18451690673828,3.689793348312378,14.380902290344238,66.66130065917969,39.93754196166992,2596.260009765625
2019-01-14,35.65616989135742,291.55999755859375,29.97859764099121,35.326805114746094,11.411008834838867,95.48278045654297,3.729708671569824,14.26443862915039,65.60826110839844,39.944435119628906,2582.610107421875
2019-01-15,36.38593292236328,294.0,30.02888298034668,35.98902893066406,11.636648178100586,98.25225830078125,3.7155773639678955,14.255118370056152,64.8643569946289,39.992610931396484,2610.300048828125
2019-01-16,36.830448150634766,293.80999755859375,30.087553024291992,35.93996810913086,11.539946556091309,98.59847259521484,3.6900415420532227,14.236489295959473,64.42959594726562,39.29051971435547,2616.10009765625
